Country,Detailed Locations,Began,Ended,Duration,Dead,Displaced,Damage (USD),Main cause,Severity,Affected_Area,Magnitude,Longitude,Latitude
United Kingdom,"Northern England, Scotland, and Northern Ireland",05-Dec-15,06-Jan-16,33,3,64000,,Heavy Rain,2,36750.19,6.4,-2.77486,54.9868
Philippines,"Oriental Mindoro, including the provinces of Albay, Northern Samar, Oriental Mindoro, Romblon and Sorsogon",12-Dec-15,06-Jan-16,26,40,20000,,"Tropical storms Melor, Onyok",1.5,6147.67,5.4,121.229,12.8357
Kenya,"Garissa, Tana River, Migori, Busia and Homa Bay",01-Dec-15,06-Jan-16,37,112,100000,,Heavy Rain,1.5,103769.52,6.8,39.5133,-2.03643
Australia,New South Wales Hunter region.,23-Dec-15,06-Jan-16,15,0,0,,Heavy Rain,1,66654.94,6,152.121,-30.3571
Paraguay,"Paraguay River bordering Argentina, Alberdi; Uruguay River,  Cuaresma tributary, northern city of Atiga Uruguay",01-Dec-15,06-Jan-16,37,12,170000,,Heavy Rain,2,574056.99,7.6,-55.8482,-26.0369
USA,"Central and southern Mississippi Valley, Missouri, Illinois, Kentucky, Tennesee, Arkansas, Mississippi",15-Dec-15,06-Jan-16,23,31,4000,,Heavy Rain,2,526834.76,7.4,-91.0829,35.6658
Albania,"Northern counties of KukÔs, DibÔr, DurrÔs, ShkodÔr,  southern county of GjirokastÔr, and around the capital in Tirana district, central Albania",21-Nov-15,04-Dec-15,14,1,300,,Heavy Rain,1,11409.69,5.2,19.9659,41.2871
Maldives,Addu City,25-Nov-15,04-Dec-15,10,0,0,,Torrential Rain,1.5,6371.38,5,73.1892,-0.144295
USA,"Texas, Kansas, Oklahoma",26-Nov-15,04-Dec-15,9,14,300,,Heavy Rain,1,439381.83,6.6,-100.238,33.9839
Qatar,Qatar and central and eastern parts of Saudi Arabia,25-Nov-15,04-Dec-15,10,1,0,,Torrential Rain,1,402659.81,6.6,51.885,21.6586
India,"Southern India, Tamil Nadu, Chenai",10-Nov-15,04-Dec-15,25,180,400000,,Tropical Storm Rovan,2,93202.05,6.7,78.8554,11.8278
Indonesia,"Langkat, North Sumatra",23-Oct-15,28-Oct-15,6,0,4000,,Heavy Rain,1,56237.12,5.5,98.4028,3.66137
Greece,"Athens, southern Italy, Macedonia, Albania",21-Oct-15,28-Oct-15,8,1,0,,Heavy Rain,1,129124.64,6,21.698,39.7609
