"","Deaths <= 0","Deaths <= 10","Deaths <= 50","Deaths <= 100","Deaths <= 500","Deaths <= 1000","Deaths <= 10000"
"abandon",0,0,18.0664892110778,3.31845748941526,0,2.7063599458728,0
"absorb",0,0,0,2.86453520606173,2.3680649526387,0,6.65154171393214
"academic",0,0,0,2.7063599458728,0,4.84685985356296,9.95951937287155
"account",0,0,0,0,0,6.61826126068239,8.15540578807272
"accumulate",0,3.0446549391069,0,0,8.22463535308103,0,4.11946446961895
"acres",5.0744248985115,4.43548387096774,4.33123646488605,0,0,2.28859137201053,2.95693956754759
"across",0,0,4.62635738610808,0,0,0,0
"activities",0,0,0,2.17416180341,0,2.0297699594046,0
"adjoining",0,0,0,0,0,1.61290322580645,12.2202743116428
"aerial",0,0,0,0,0,3.24842734866454,13.1080125939729
"area",0,0,0,0,5.46560791997525,4.17657264023646,5.94665005380302
"bangladesh",0,0,0,0,6.55400629698644,0,3.66174619521684
"catastrophe",4.7361299052774,2.82258064516129,0,0,0,0,2.77213084457586
"caused",0,0,4.08019019469254,6.73953672764343,2.86073921501316,0,0
"city",0,0,0,4.23389403821948,0,0,0
"crippled",0,0,2.51745050921158,3.97338754389207,2.0297699594046,0,0
"cyclone",0,0,0,3.0446549391069,0,0,0
"damage",0,0,0,0,7.4765391358152,0,10.5340658095939
"damaged",0,2.3680649526387,0,0,9.02782239928034,0,0
"days",4.3978349120433,0,0,0,5.38030242963131,2.28859137201053,0
"dead",0,0,0,0,2.86073921501316,0,0
"desperation",0,0,0,5.95033756722737,2.77213084457586,0,0
"destroyed",0,0,0,0,2.0297699594046,0,0
"dying",0,0,4.89743115875069,0,0,0,0
"evacuated",0,0,0,0,12.7874600391874,0,0
"feb",0,0,0,4.33123646488605,16.8026730064898,6.62626720280908,0
"flood",3.7212449255751,1.61290322580645,0,7.58208571612157,11.553491533103,2.97516878361369,9.24043614858621
"flooded",8.87096774193548,3.24842734866454,0,7.36251911423231,6.17919670442842,3.04934392903345,0
"flooding",0,4.5942299042601,0,5.26376015562421,4.98983552023656,3.0446549391069,0
"heavy",0,0,0,4.25060062834966,2.7063599458728,0,0
"hectares",0,0,0,4.0595399188092,3.62903225806452,0,0
"homes",0,0,0,2.82258064516129,7.16716510260905,0,0
"inundated",0,0,1.61290322580645,0,9.41335218145602,14.7250382284646,2.28859137201053
"killed",3.382949932341,0,3.86717541507683,0,7.02271053972929,0,0
"landslides",0,0,4.91550472273983,0,4.00503490101842,0,0
"maternity",0,0,0,0,9.97967104047311,0,0
"missing",0,0,2.17416180341,4.1581962668638,0,0,4.84685985356296
"rains",0,0,0,0,1.61290322580645,0,5.94358414187496
"river",0,0,0,0,3.35155202639992,0,0
"rushing",0,0,0,3.60936372073837,5.20465205937159,0,10.7563794484495
"sept",7.7807848443843,2.41935483870968,0,5.01188716828375,6.56963244039191,2.97516878361369,3.23415265200517
"submerged",10.0806451612903,0,4.722739831652,0,3.54731662661632,0,0
"worst",0,0,4.53078099337373,0,3.14174829051931,0,2.01612903225806
